poi_name,g_lat,g_lng,poi_type,search_region
Highline seongsu (하이라인),37.5389944,127.0499414,cafe,성수동 카페
아쿠아산타Acqua Santa Coffee & Cake & Dessert Cafe 圣水阿库亚圣塔咖啡甜点店 アクアサンタ コーヒー・ケーキ・デザートカフェ,37.541642,127.0582107,cafe,성수동 카페
까치화방 카페 성수점 CACHI CAFE SEONGSU 聖水駅カフェ 圣水站咖啡厅,37.5456143,127.0648276,bakery,성수동 카페
5TO7,37.5460839,127.043323,cafe,성수동 카페
로우키 성수,37.5441954,127.0515838,cafe,성수동 카페
어반누크 성수,37.5466861,127.0433202,cafe,성수동 카페
프렌즈앤야드 Friends&Yard,37.54242470000001,127.0597762,establishment,성수동 카페
미디엄스톤,37.5465252,127.0465314,cafe,성수동 카페
파머스카페,37.5460053,127.0460921,cafe,성수동 카페
라에비뉴,37.5465918,127.0538704,cafe,성수동 카페
와이덴 성수,37.5475948,127.0544362,cafe,성수동 카페
성수동 대림창고 갤러리,37.5418384,127.0564636,cafe,성수동 카페
본지르르 성수,37.5492935,127.0546554,cafe,성수동 카페
파케파케 성수,37.542302,127.0537711,cafe,성수동 카페
무브모브 성수 CAFE move.mov カフェ ムーブモーブ聖水,37.5453842,127.0502864,cafe,성수동 카페
카페씨떼 CaféCité,37.5415673,127.0557233,cafe,성수동 카페
포어플랜,37.5482373,127.047502,establishment,성수동 카페
따우전드 성수점,37.5446246,127.0503043,cafe,성수동 카페
이페메라,37.5415864,127.0614547,cafe,성수동 카페
헨리스플랏 Henrys flat,37.5383311,127.0579354,cafe,성수동 카페
스케줄성수,37.54446170000001,127.0554135,establishment,성수동 식당
사위식당 성수,37.5444119,127.0526329,establishment,성수동 식당
문화식당 성수점,37.5423066,127.0538122,establishment,성수동 식당
이태리국시 성수(ITALYGUKSI SEONGSU),37.5460471,127.0467101,establishment,성수동 식당
성수AGU | 성수 레스토랑 | Seongsu Restaurants | 성수 맛집 | 성수동 맛집 | レストラン | 聖水洞美食 | ソンス,37.5482477,127.0485034,bar,성수동 식당
성수다락 | 성수 레스토랑 | Seongsu Restaurants | 성수 맛집 | レストラン | 聖水洞美食,37.5398972,127.0562192,establishment,성수동 식당
대낚식당 성수점 | 성수 맛집 | Seongsu Restaurants | Daenakk Restaurant,37.54341970000001,127.0539427,establishment,성수동 식당
SZIMPATIKUS Restaurant Seongsu (심퍼티쿠시 성수점),37.5477995,127.0450789,bar,성수동 식당
리타르단도(Ritardando),37.5390795,127.0544956,establishment,성수동 식당
탐광,37.5431748,127.0554194,establishment,성수동 식당
성수완당 본점,37.5406724,127.0661424,establishment,성수동 식당
미도인 성수,37.5431987,127.0548443,establishment,성수동 식당
난포 성수,37.5470208,127.0427327,establishment,성수동 식당
희릿,37.5426033,127.0485903,bar,성수동 식당
꿉당 성수점,37.5432243,127.057537,establishment,성수동 식당
백옥 성수,37.5410836,127.0563205,establishment,성수동 식당
노이,37.5398161,127.0559919,establishment,성수동 식당
호호식당 성수점,37.5471059,127.0438979,establishment,성수동 식당
바오서울 성수,37.5405405,127.061294,establishment,성수동 식당
세스크멘슬,37.5410226,127.0563968,establishment,성수동 식당
팝업스토어,37.5423587,127.0577552,establishment,성수동 팝업스토어
마플샵 팝업스토어,37.5447534,127.049521,establishment,성수동 팝업스토어
XYZ SEOUL,37.5420716,127.0576498,establishment,성수동 팝업스토어
라브아 성수 팝업스토어,37.5432038,127.0530005,establishment,성수동 팝업스토어
29CM KIDS,37.5451649,127.0524753,establishment,성수동 팝업스토어
팝업스토어,37.541194,127.0602544,establishment,성수동 팝업스토어
아도르 성수,37.5440178,127.0589915,establishment,성수동 팝업스토어
Babe 팝업스토어,37.5480804,127.0426556,establishment,성수동 팝업스토어
무신사 테라스 성수,37.5444502,127.0553861,clothing_store,성수동 팝업스토어
알로소 팝업스토어,37.5483951,127.0453181,cafe,성수동 팝업스토어
