poi_name,g_lat,g_lng,projected_tm_x,projected_tm_y,poi_type,search_region,vworld_address,vworld_verified
Highline seongsu (하이라인),37.5389944,127.0499414,960239.8768,1948947.6263,cafe,성수동 카페,,False
아쿠아산타Acqua Santa Coffee & Cake & Dessert Cafe 圣水阿库亚圣塔咖啡甜点店 アクアサンタ コーヒー・ケーキ・デザートカフェ,37.541642,127.0582107,960971.8064,1949237.8979,cafe,성수동 카페,,False
까치화방 카페 성수점 CACHI CAFE SEONGSU 聖水駅カフェ 圣水站咖啡厅,37.5456143,127.0648276,961558.3939,1949675.876,bakery,성수동 카페,,False
5TO7,37.5460839,127.043323,959658.9957,1949736.9854,cafe,성수동 카페,,False
로우키 성수,37.5441954,127.0515838,960387.7261,1949523.9544,cafe,성수동 카페,,False
어반누크 성수,37.5466861,127.0433202,959659.0729,1949803.7973,cafe,성수동 카페,,False
프렌즈앤야드 Friends&Yard,37.54242470000001,127.0597762,961110.5118,1949324.0853,establishment,성수동 카페,,False
미디엄스톤,37.5465252,127.0465314,959942.6505,1949784.5733,cafe,성수동 카페,,False
파머스카페,37.5460053,127.0460921,959903.566,1949727.0806,cafe,성수동 카페,,False
라에비뉴,37.5465918,127.0538704,960590.9828,1949788.8606,cafe,성수동 카페,,False
와이덴 성수,37.5475948,127.0544362,960641.4906,1949899.9008,cafe,성수동 카페,,False
성수동 대림창고 갤러리,37.5418384,127.0564636,960817.5675,1949260.4139,cafe,성수동 카페,,False
본지르르 성수,37.5492935,127.0546554,960661.7463,1950088.2704,cafe,성수동 카페,,False
파케파케 성수,37.542302,127.0537711,960579.9523,1949312.9731,cafe,성수동 카페,,False
무브모브 성수 CAFE move.mov カフェ ムーブモーブ聖水,37.5453842,127.0502864,960273.7463,1949656.3925,cafe,성수동 카페,,False
카페씨떼 CaféCité,37.5415673,127.0557233,960752.0262,1949230.6457,cafe,성수동 카페,,False
포어플랜,37.5482373,127.047502,960029.3035,1949974.1082,establishment,성수동 카페,,False
따우전드 성수점,37.5446246,127.0503043,960274.9245,1949572.1116,cafe,성수동 카페,,False
