poi_name,g_lat,g_lng,n_mapx,n_mapy,n_name,n_address,poi_type,search_region
Highline seongsu (하이라인),37.5389944,127.0499414,1270498827,375390219,하이라인 성수카페,서울특별시 성동구 성수동1가 272 2층 하이라인성수카페,cafe,성수동 카페
로우키 성수,37.5441954,127.0515838,1270515894,375442014,로우키,"서울특별시 성동구 성수동2가 302-16 1층, B1층",cafe,성수동 카페
어반누크 성수,37.5466861,127.0433202,1270433082,375467407,어반누크 성수,서울특별시 성동구 성수동1가 668-58 어반누크,cafe,성수동 카페
프렌즈앤야드 Friends&Yard,37.54242470000001,127.0597762,1270597731,375424908,프렌즈앤야드,서울특별시 성동구 성수동2가 273-13 B동 1층 125호,establishment,성수동 카페
미디엄스톤,37.5465252,127.0465314,1270465615,375465605,미디엄스톤 성수 뚝섬역점,"서울특별시 성동구 성수동1가 656-711 1층, 2층, 옥상 미디엄스톤",cafe,성수동 카페
파머스카페,37.5460053,127.0460921,1270460565,375459916,파머스카페,서울특별시 성동구 성수동1가 656-1083 1층,cafe,성수동 카페
라에비뉴,37.5465918,127.0538704,1270539961,375465728,라에비뉴 성수,서울특별시 성동구 성수동2가 289-27 1층 103호,cafe,성수동 카페
와이덴 성수,37.5475948,127.0544362,1270544794,375476245,와이덴 성수,서울특별시 성동구 성수동2가 289-211 1층 와이덴 성수,cafe,성수동 카페
성수동 대림창고 갤러리,37.5418384,127.0564636,1270563952,375417036,성수동대림창고갤러리,서울특별시 성동구 성수동2가 322-32,cafe,성수동 카페
본지르르 성수,37.5492935,127.0546554,1270546980,375493012,본지르르 성수,"서울특별시 성동구 성수동2가 299-21 B1, 1, 2층",cafe,성수동 카페
파케파케 성수,37.542302,127.0537711,1270538495,375422907,파케파케 성수,서울특별시 성동구 성수동2가 310-21 1층,cafe,성수동 카페
포어플랜,37.5482373,127.047502,1270475587,375482007,포어플랜,서울특별시 성동구 성수동1가 656-1068 1층,establishment,성수동 카페
따우전드 성수점,37.5446246,127.0503043,1270503166,375446403,따우전드 성수점,서울특별시 성동구 성수동2가 301-27 1층,cafe,성수동 카페
이페메라,37.5415864,127.0614547,1270615210,375414816,카페 이페메라 X 비스퀴테리 엠오 LCDC SEOUL,서울특별시 성동구 성수동2가 275-28 LCDC SEOUL A동 1층,cafe,성수동 카페
헨리스플랏 Henrys flat,37.5383311,127.0579354,1270579801,375383403,헨리스플랏,서울특별시 성동구 성수동2가 269-125,cafe,성수동 카페
스케줄성수,37.54446170000001,127.0554135,1270554511,375444452,스케줄 성수,서울특별시 성동구 성수동2가 315-71 2층,establishment,성수동 식당
사위식당 성수,37.5444119,127.0526329,1270526591,375444391,사위식당 성수점,서울특별시 성동구 성수동2가 302-8 블루스톤타워 지하 1층 B102호,establishment,성수동 식당
이태리국시 성수(ITALYGUKSI SEONGSU),37.5460471,127.0467101,1270466902,375459976,이태리국시 성수,서울특별시 성동구 성수동1가 656-1085 3층,establishment,성수동 식당
SZIMPATIKUS Restaurant Seongsu (심퍼티쿠시 성수점),37.5477995,127.0450789,1270451043,375476731,심퍼티쿠시 성수점,서울특별시 성동구 성수동1가 656-1731 3층 R5호,bar,성수동 식당
리타르단도(Ritardando),37.5390795,127.0544956,1270544881,375390907,리타르단도,서울특별시 성동구 성수동2가 339-29 B1 리타르단도,establishment,성수동 식당
탐광,37.5431748,127.0554194,1270554483,375432134,탐광,"서울특별시 성동구 성수동2가 315-24 1층,B1",establishment,성수동 식당
미도인 성수,37.5431987,127.0548443,1270548306,375432228,미도인 성수,서울특별시 성동구 성수동2가 315-34 1층,establishment,성수동 식당
난포 성수,37.5470208,127.0427327,1270426732,375470252,난포,서울특별시 성동구 성수동1가 668-79 지층,establishment,성수동 식당
희릿,37.5426033,127.0485903,1270484417,375426563,희릿,서울특별시 성동구 성수동1가 656-1661 1층,bar,성수동 식당
꿉당 성수점,37.5432243,127.057537,1270575635,375432305,꿉당 성수점,서울특별시 성동구 성수동2가 273-24 경협회관 104호,establishment,성수동 식당
백옥 성수,37.5410836,127.0563205,1270562928,375410455,백옥 성수,서울특별시 성동구 성수동2가 322-42 1층,establishment,성수동 식당
노이,37.5398161,127.0559919,1270560081,375398053,노이 성수점,서울특별시 성동구 성수동2가 328-74 1층 Noi 성수점,establishment,성수동 식당
바오서울 성수,37.5405405,127.061294,1270613223,375405739,바오서울 성수,서울특별시 성동구 성수동2가 275-14 1층 103호,establishment,성수동 식당
세스크멘슬,37.5410226,127.0563968,1270564380,375410221,세스크멘슬,서울특별시 성동구 성수동2가 322-20 1층,establishment,성수동 식당
팝업스토어,37.5423587,127.0577552,1270568259,375422673,온그리디언츠 이너글로우 VIP 라운지,서울특별시 성동구 성수동2가 317-16 LECT,establishment,성수동 팝업스토어
