anchor_name,address,vw_lat,vw_lng,tm_x,tm_y
성수역 4번출구,서울특별시 성동구 뚝섬로 지하 1,37.539528918,127.054019245,960600.4144,1949005.2115
뚝섬역 1번출구,서울특별시 성동구 서울숲2길 지하 32,37.54781223,127.039887019,959356.4117,1949930.2138
뚝섬역 2번출구,서울특별시 성동구 서울숲2길 지하 32,37.54781223,127.039887019,959356.4117,1949930.2138
서울숲역 1번출구,서울특별시 성동구 왕십리로 지하 83-6,37.5555866,127.04358358,959687.133,1950791.146
서울숲역 3번출구,서울특별시 성동구 왕십리로 지하 83-6,37.5555866,127.04358358,959687.133,1950791.146
연무장길 시작점 (성수이로 교차),서울특별시 성동구 연무장길 1,37.544158712,127.049944564,960242.8987,1949520.576
연무장길 끝점 (뚝섬로 교차),서울특별시 성동구 연무장길 45,37.542901333,127.054389612,960634.9073,1949379.2066
서울숲2길 시작점,서울특별시 성동구 서울숲2길 1,37.54781223,127.039887019,959356.4117,1949930.2138
뚝섬로 1길 시작점,서울특별시 성동구 뚝섬로1길 1,37.538436826,127.057105914,960872.5329,1948882.7614
아차산로 시작점 (성수동),서울특별시 성동구 아차산로 49,37.54680616,127.050040912,960252.8156,1949814.2547
왕십리로 (성수역 부근),서울특별시 성동구 왕십리로 83,37.545012712,127.043686184,959690.5013,1949617.9873
서울숲 정문,서울특별시 성동구 뚝섬로 273,37.543069111,127.041798943,959522.7359,1949403.1664
성수동 우체국,서울특별시 성동구 성수이로7길 14,37.537177122,127.053057324,960514.1942,1948744.6968
성동구청,서울특별시 성동구 고산자로 270,37.563428014,127.036908072,959101.8034,1951663.9932
성수1가1동 주민센터,서울특별시 성동구 독서당로 277,37.547479009,127.019992645,957598.8642,1949902.0314
성수2가제3동 주민센터,서울특별시 성동구 뚝섬로1길 29,37.539221239,127.061842633,961291.4058,1948967.8271
